year,student_id,gender,race,class,region,discrimination_complaint
1998,S300001,M,white,10A,georgia,0
1998,S300002,M,white,9B,georgia,0
1998,S300003,M,white,11B,california,0
1998,S300004,M,white,10B,illinois,0
1998,S300005,M,white,10A,texas,0
1998,S300006,M,white,9B,new_york,0
1998,S300007,M,white,10A,new_york,0
1998,S300008,F,white,9B,california,0
1998,S300009,F,white,10B,ohio,0
1998,S300010,F,white,9B,florida,0
1998,S300011,F,white,10A,michigan,0
1998,S300012,F,white,9B,california,0
1998,S300013,F,white,10B,georgia,0
1998,S300014,M,white,10B,california,0
1998,S300015,M,white,9A,north_carolina,0
1998,S300016,F,white,9B,georgia,1
1998,S300017,F,white,11A,texas,0
1998,S300018,M,white,10B,ohio,0
1998,S300019,F,white,9A,california,0
1998,S300020,M,white,10B,new_york,0
1998,S300021,M,white,12A,illinois,0
1998,S300022,F,white,9A,ohio,0
1998,S300023,M,white,9A,new_york,0
1998,S300024,F,white,12A,florida,0
1998,S300025,F,white,12A,florida,0
1998,S300026,M,white,10B,california,0
1998,S300027,F,white,11A,florida,0
1998,S300028,M,white,9A,north_carolina,0
1998,S300029,F,white,11A,north_carolina,0
1998,S300030,M,white,10A,north_carolina,0
1998,S300031,M,white,9B,pennsylvania,0
1998,S300032,M,white,9B,texas,0
1998,S300033,M,white,9B,texas,0
1998,S300034,F,white,10A,california,0
1998,S300035,F,white,10A,new_york,0
1998,S300036,F,white,10A,ohio,0
1998,S300037,M,white,9B,pennsylvania,0
1998,S300038,M,white,9A,texas,0
1998,S300039,M,white,9B,florida,1
1998,S300040,M,white,9A,new_york,0
1998,S300041,F,white,12A,ohio,0
1998,S300042,F,white,12B,california,0
1998,S300043,M,white,12B,michigan,0
1998,S300044,M,white,12A,illinois,0
1998,S300045,M,white,11A,new_york,0
1998,S300046,M,white,10A,texas,0
1998,S300047,F,white,10A,georgia,0
1998,S300048,F,white,9B,north_carolina,0
1998,S300049,M,white,10A,new_york,0
1998,S300050,M,white,9B,illinois,0
1998,S300051,F,white,9B,texas,0
1998,S300052,M,white,9B,ohio,0
1998,S300053,M,white,12A,pennsylvania,0
1998,S300054,M,white,9A,texas,0
1998,S300055,F,white,9B,texas,0
1998,S300056,F,white,11B,illinois,1
1998,S300057,F,white,10A,texas,0
1998,S300058,F,white,9A,illinois,0
1998,S300059,M,white,9B,north_carolina,0
